musical_expertise,aggressive,relaxed,happy,sad,correct,stimulus_number,file_name,composer,instrument,emotional_intent,emotional_intent_value,intent_rating_difference,emotional_intent_value_word,emotional_intent_value_word_general
none,1,-2,1,-2,0,358,358_aggressive_3_steelstring-guitar_LucFra_fingers_new6_20200914.wav,LucFra,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,0,-2,0,2,0,392,392_aggressive_1_classical-guitar_MarPia_fingers_new5_20201001.wav,MarPia,classical-guitar,aggressive,2,2,normal_aggressive,normal
none,0,2,-2,2,0,394,394_aggressive_3_classical-guitar_MarPia_fingers_new5_20201001.wav,MarPia,classical-guitar,aggressive,2,2,normal_aggressive,normal
none,0,0,1,0,0,161,161_aggressive_2_steelstring-guitar_MasChi_pick_new5_20200729.wav,MasChi,steelstring-guitar,aggressive,2,2,normal_aggressive,normal
none,1,-1,2,0,0,162,162_aggressive_3_steelstring-guitar_MasChi_pick_new5_20200729.wav,MasChi,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,2,-3,0,0,1,73,73_aggressive_1_classical-guitar_MatRig_fingers_new3_20200618.wav,MatRig,classical-guitar,aggressive,2,0,normal_aggressive,normal
none,2,-3,0,0,1,74,74_aggressive_2_classical-guitar_MatRig_fingers_new3_20200618.wav,MatRig,classical-guitar,aggressive,2,0,normal_aggressive,normal
none,0,-2,1,0,0,321,321_aggressive_1_steelstring-guitar_NicCon_pick_new4_20200804.wav,NicCon,steelstring-guitar,aggressive,2,2,normal_aggressive,normal
none,1,-2,0,0,1,346,346_aggressive_3_classical-guitar_NicLat_pick_new7_20200730.wav,NicLat,classical-guitar,aggressive,2,1,normal_aggressive,normal
none,1,-1,-1,1,0,39,39_aggressive_3_steelstring-guitar_OweWin_pick_new5_20200629.wav,OweWin,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,1,1,0,0,0,212,212_aggressive_1_classical-guitar_SalOli_fingers_new3_20200714.wav,SalOli,classical-guitar,aggressive,2,1,normal_aggressive,normal
none,2,-2,1,0,1,214,214_aggressive_3_classical-guitar_SalOli_pick_new3_20200714.wav,SalOli,classical-guitar,aggressive,2,0,normal_aggressive,normal
none,1,2,2,0,0,133,133_aggressive_1_steelstring-guitar_SamLor_pick_new2_20200715.wav,SamLor,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,1,1,1,-1,0,134,134_aggressive_2_steelstring-guitar_SamLor_pick_new2_20200715.wav,SamLor,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,1,0,0,0,1,135,135_aggressive_3_steelstring-guitar_SamLor_pick_new2_20200715.wav,SamLor,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,2,-3,1,0,1,121,121_aggressive_1_steelstring-guitar_SimArm_fingers_new5_20200711.wav,SimArm,steelstring-guitar,aggressive,2,0,normal_aggressive,normal
none,1,-2,0,0,1,109,109_aggressive_1_steelstring-guitar_SteRom_fingers_new3_20200715.wav,SteRom,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,1,-1,0,0,1,110,110_aggressive_2_steelstring-guitar_SteRom_fingers_new3_20200715.wav,SteRom,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
none,-2,1,0,0,0,120,120_sad_3_steelstring-guitar_SteRom_fingers_new3_20200715.wav,SteRom,steelstring-guitar,aggressive,2,4,normal_aggressive,normal
none,1,0,1,0,0,200,200_aggressive_1_classical-guitar_TizBol_fingers_new7_20200630.wav,TizBol,classical-guitar,aggressive,2,1,normal_aggressive,normal
none,1,-1,2,-2,0,201,201_aggressive_2_classical-guitar_TizBol_fingers_new7_20200630.wav,TizBol,classical-guitar,aggressive,2,1,normal_aggressive,normal
none,1,-2,-1,0,1,98,98_aggressive_2_steelstring-guitar_TizCam_pick_new5_20200715.wav,TizCam,steelstring-guitar,aggressive,2,1,normal_aggressive,normal
